index	DOY	Dst
2000-05-08 00:00:00	129	7
2000-05-08 01:00:00	129	8
2000-05-08 02:00:00	129	13
2000-05-08 03:00:00	129	16
2000-05-08 04:00:00	129	19
2000-05-08 05:00:00	129	21
2000-05-08 06:00:00	129	26
2000-05-08 07:00:00	129	29
2000-05-08 08:00:00	129	25
2000-05-08 09:00:00	129	22
2000-05-08 10:00:00	129	19
2000-05-08 11:00:00	129	19
2000-05-08 12:00:00	129	19
2000-05-08 13:00:00	129	22
2000-05-08 14:00:00	129	24
2000-05-08 15:00:00	129	23
2000-05-08 16:00:00	129	22
2000-05-08 17:00:00	129	23
2000-05-08 18:00:00	129	20
2000-05-08 19:00:00	129	16
2000-05-08 20:00:00	129	17
2000-05-08 21:00:00	129	12
2000-05-08 22:00:00	129	10
2000-05-08 23:00:00	129	10
