index	DOY	Dst
1997-10-30 00:00:00	303	-20
1997-10-30 01:00:00	303	-20
1997-10-30 02:00:00	303	-18
1997-10-30 03:00:00	303	-16
1997-10-30 04:00:00	303	-18
1997-10-30 05:00:00	303	-20
1997-10-30 06:00:00	303	-19
1997-10-30 07:00:00	303	-21
1997-10-30 08:00:00	303	-23
1997-10-30 09:00:00	303	-25
1997-10-30 10:00:00	303	-26
1997-10-30 11:00:00	303	-30
1997-10-30 12:00:00	303	-25
1997-10-30 13:00:00	303	-27
1997-10-30 14:00:00	303	-25
1997-10-30 15:00:00	303	-23
1997-10-30 16:00:00	303	-24
1997-10-30 17:00:00	303	-28
1997-10-30 18:00:00	303	-24
1997-10-30 19:00:00	303	-21
1997-10-30 20:00:00	303	-21
1997-10-30 21:00:00	303	-21
1997-10-30 22:00:00	303	-18
1997-10-30 23:00:00	303	-15
