index	DOY	Dst
1997-11-10 00:00:00	314	-46
1997-11-10 01:00:00	314	-53
1997-11-10 02:00:00	314	-54
1997-11-10 03:00:00	314	-51
1997-11-10 04:00:00	314	-51
1997-11-10 05:00:00	314	-52
1997-11-10 06:00:00	314	-53
1997-11-10 07:00:00	314	-48
1997-11-10 08:00:00	314	-46
1997-11-10 09:00:00	314	-43
1997-11-10 10:00:00	314	-40
1997-11-10 11:00:00	314	-41
1997-11-10 12:00:00	314	-39
1997-11-10 13:00:00	314	-33
1997-11-10 14:00:00	314	-31
1997-11-10 15:00:00	314	-37
1997-11-10 16:00:00	314	-38
1997-11-10 17:00:00	314	-33
1997-11-10 18:00:00	314	-28
1997-11-10 19:00:00	314	-22
1997-11-10 20:00:00	314	-19
1997-11-10 21:00:00	314	-22
1997-11-10 22:00:00	314	-22
1997-11-10 23:00:00	314	-16
