index	DOY	Dst
2019-04-23 00:00:00	113	2
2019-04-23 01:00:00	113	0
2019-04-23 02:00:00	113	1
2019-04-23 03:00:00	113	0
2019-04-23 04:00:00	113	3
2019-04-23 05:00:00	113	6
2019-04-23 06:00:00	113	7
2019-04-23 07:00:00	113	8
2019-04-23 08:00:00	113	7
2019-04-23 09:00:00	113	4
2019-04-23 10:00:00	113	5
2019-04-23 11:00:00	113	4
2019-04-23 12:00:00	113	-1
2019-04-23 13:00:00	113	-4
2019-04-23 14:00:00	113	-8
2019-04-23 15:00:00	113	-6
2019-04-23 16:00:00	113	-2
2019-04-23 17:00:00	113	4
2019-04-23 18:00:00	113	11
2019-04-23 19:00:00	113	6
2019-04-23 20:00:00	113	-10
2019-04-23 21:00:00	113	-9
2019-04-23 22:00:00	113	-4
2019-04-23 23:00:00	113	-8
