index	DOY	Dst
2002-02-19 00:00:00	50	-17
2002-02-19 01:00:00	50	-14
2002-02-19 02:00:00	50	-12
2002-02-19 03:00:00	50	-23
2002-02-19 04:00:00	50	-27
2002-02-19 05:00:00	50	-26
2002-02-19 06:00:00	50	-23
2002-02-19 07:00:00	50	-21
2002-02-19 08:00:00	50	-22
2002-02-19 09:00:00	50	-18
2002-02-19 10:00:00	50	-16
2002-02-19 11:00:00	50	-14
2002-02-19 12:00:00	50	-12
2002-02-19 13:00:00	50	-11
2002-02-19 14:00:00	50	-14
2002-02-19 15:00:00	50	-17
2002-02-19 16:00:00	50	-18
2002-02-19 17:00:00	50	-17
2002-02-19 18:00:00	50	-15
2002-02-19 19:00:00	50	-14
2002-02-19 20:00:00	50	-18
2002-02-19 21:00:00	50	-14
2002-02-19 22:00:00	50	-8
2002-02-19 23:00:00	50	-12
