index	DOY	Dst
2004-12-04 00:00:00	339	-6
2004-12-04 01:00:00	339	-6
2004-12-04 02:00:00	339	-6
2004-12-04 03:00:00	339	-6
2004-12-04 04:00:00	339	-5
2004-12-04 05:00:00	339	-3
2004-12-04 06:00:00	339	-3
2004-12-04 07:00:00	339	-3
2004-12-04 08:00:00	339	-5
2004-12-04 09:00:00	339	-5
2004-12-04 10:00:00	339	-5
2004-12-04 11:00:00	339	-8
2004-12-04 12:00:00	339	-11
2004-12-04 13:00:00	339	-11
2004-12-04 14:00:00	339	-9
2004-12-04 15:00:00	339	-5
2004-12-04 16:00:00	339	-5
2004-12-04 17:00:00	339	-5
2004-12-04 18:00:00	339	-4
2004-12-04 19:00:00	339	-3
2004-12-04 20:00:00	339	-3
2004-12-04 21:00:00	339	-3
2004-12-04 22:00:00	339	-3
2004-12-04 23:00:00	339	-4
