index	DOY	Dst
1998-07-30 00:00:00	211	-2
1998-07-30 01:00:00	211	-4
1998-07-30 02:00:00	211	1
1998-07-30 03:00:00	211	5
1998-07-30 04:00:00	211	11
1998-07-30 05:00:00	211	16
1998-07-30 06:00:00	211	17
1998-07-30 07:00:00	211	15
1998-07-30 08:00:00	211	10
1998-07-30 09:00:00	211	12
1998-07-30 10:00:00	211	6
1998-07-30 11:00:00	211	2
1998-07-30 12:00:00	211	3
1998-07-30 13:00:00	211	-1
1998-07-30 14:00:00	211	-2
1998-07-30 15:00:00	211	-5
1998-07-30 16:00:00	211	-6
1998-07-30 17:00:00	211	-1
1998-07-30 18:00:00	211	6
1998-07-30 19:00:00	211	4
1998-07-30 20:00:00	211	10
1998-07-30 21:00:00	211	22
1998-07-30 22:00:00	211	26
1998-07-30 23:00:00	211	32
