index	DOY	Dst
1999-12-14 00:00:00	348	-33
1999-12-14 01:00:00	348	-29
1999-12-14 02:00:00	348	-24
1999-12-14 03:00:00	348	-23
1999-12-14 04:00:00	348	-25
1999-12-14 05:00:00	348	-22
1999-12-14 06:00:00	348	-23
1999-12-14 07:00:00	348	-24
1999-12-14 08:00:00	348	-25
1999-12-14 09:00:00	348	-24
1999-12-14 10:00:00	348	-26
1999-12-14 11:00:00	348	-28
1999-12-14 12:00:00	348	-28
1999-12-14 13:00:00	348	-30
1999-12-14 14:00:00	348	-28
1999-12-14 15:00:00	348	-24
1999-12-14 16:00:00	348	-22
1999-12-14 17:00:00	348	-17
1999-12-14 18:00:00	348	-13
1999-12-14 19:00:00	348	-12
1999-12-14 20:00:00	348	-19
1999-12-14 21:00:00	348	-16
1999-12-14 22:00:00	348	-15
1999-12-14 23:00:00	348	-17
