index	DOY	Dst
2005-02-23 00:00:00	54	3
2005-02-23 01:00:00	54	6
2005-02-23 02:00:00	54	6
2005-02-23 03:00:00	54	5
2005-02-23 04:00:00	54	5
2005-02-23 05:00:00	54	5
2005-02-23 06:00:00	54	6
2005-02-23 07:00:00	54	11
2005-02-23 08:00:00	54	12
2005-02-23 09:00:00	54	10
2005-02-23 10:00:00	54	10
2005-02-23 11:00:00	54	13
2005-02-23 12:00:00	54	17
2005-02-23 13:00:00	54	18
2005-02-23 14:00:00	54	17
2005-02-23 15:00:00	54	12
2005-02-23 16:00:00	54	13
2005-02-23 17:00:00	54	15
2005-02-23 18:00:00	54	15
2005-02-23 19:00:00	54	17
2005-02-23 20:00:00	54	26
2005-02-23 21:00:00	54	16
2005-02-23 22:00:00	54	16
2005-02-23 23:00:00	54	17
