index	DOY	Dst
2017-12-13 00:00:00	347	-13
2017-12-13 01:00:00	347	-9
2017-12-13 02:00:00	347	-6
2017-12-13 03:00:00	347	-8
2017-12-13 04:00:00	347	-8
2017-12-13 05:00:00	347	-6
2017-12-13 06:00:00	347	-7
2017-12-13 07:00:00	347	-9
2017-12-13 08:00:00	347	-9
2017-12-13 09:00:00	347	-6
2017-12-13 10:00:00	347	-6
2017-12-13 11:00:00	347	-5
2017-12-13 12:00:00	347	-7
2017-12-13 13:00:00	347	-8
2017-12-13 14:00:00	347	-9
2017-12-13 15:00:00	347	-7
2017-12-13 16:00:00	347	-8
2017-12-13 17:00:00	347	-4
2017-12-13 18:00:00	347	-7
2017-12-13 19:00:00	347	-9
2017-12-13 20:00:00	347	-8
2017-12-13 21:00:00	347	-10
2017-12-13 22:00:00	347	-8
2017-12-13 23:00:00	347	-7
