index	DOY	Dst
2005-01-04 00:00:00	4	-19
2005-01-04 01:00:00	4	-22
2005-01-04 02:00:00	4	-24
2005-01-04 03:00:00	4	-26
2005-01-04 04:00:00	4	-24
2005-01-04 05:00:00	4	-19
2005-01-04 06:00:00	4	-22
2005-01-04 07:00:00	4	-25
2005-01-04 08:00:00	4	-32
2005-01-04 09:00:00	4	-28
2005-01-04 10:00:00	4	-25
2005-01-04 11:00:00	4	-25
2005-01-04 12:00:00	4	-22
2005-01-04 13:00:00	4	-23
2005-01-04 14:00:00	4	-24
2005-01-04 15:00:00	4	-26
2005-01-04 16:00:00	4	-26
2005-01-04 17:00:00	4	-29
2005-01-04 18:00:00	4	-31
2005-01-04 19:00:00	4	-31
2005-01-04 20:00:00	4	-30
2005-01-04 21:00:00	4	-28
2005-01-04 22:00:00	4	-25
2005-01-04 23:00:00	4	-24
