index	DOY	Dst
2003-01-09 00:00:00	9	-2
2003-01-09 01:00:00	9	0
2003-01-09 02:00:00	9	4
2003-01-09 03:00:00	9	4
2003-01-09 04:00:00	9	3
2003-01-09 05:00:00	9	7
2003-01-09 06:00:00	9	13
2003-01-09 07:00:00	9	16
2003-01-09 08:00:00	9	15
2003-01-09 09:00:00	9	10
2003-01-09 10:00:00	9	6
2003-01-09 11:00:00	9	3
2003-01-09 12:00:00	9	0
2003-01-09 13:00:00	9	2
2003-01-09 14:00:00	9	4
2003-01-09 15:00:00	9	0
2003-01-09 16:00:00	9	0
2003-01-09 17:00:00	9	-1
2003-01-09 18:00:00	9	-7
2003-01-09 19:00:00	9	-12
2003-01-09 20:00:00	9	-8
2003-01-09 21:00:00	9	-5
2003-01-09 22:00:00	9	1
2003-01-09 23:00:00	9	7
