index	DOY	Dst
2002-08-01 00:00:00	213	-12
2002-08-01 01:00:00	213	-14
2002-08-01 02:00:00	213	-12
2002-08-01 03:00:00	213	-10
2002-08-01 04:00:00	213	-10
2002-08-01 05:00:00	213	4
2002-08-01 06:00:00	213	-7
2002-08-01 07:00:00	213	-20
2002-08-01 08:00:00	213	-13
2002-08-01 09:00:00	213	-8
2002-08-01 10:00:00	213	-4
2002-08-01 11:00:00	213	-21
2002-08-01 12:00:00	213	-34
2002-08-01 13:00:00	213	-51
2002-08-01 14:00:00	213	-50
2002-08-01 15:00:00	213	-43
2002-08-01 16:00:00	213	-44
2002-08-01 17:00:00	213	-34
2002-08-01 18:00:00	213	-29
2002-08-01 19:00:00	213	-24
2002-08-01 20:00:00	213	-22
2002-08-01 21:00:00	213	-17
2002-08-01 22:00:00	213	-18
2002-08-01 23:00:00	213	3
