index	DOY	Dst
2019-02-06 00:00:00	37	-5
2019-02-06 01:00:00	37	-2
2019-02-06 02:00:00	37	-3
2019-02-06 03:00:00	37	-8
2019-02-06 04:00:00	37	-9
2019-02-06 05:00:00	37	-6
2019-02-06 06:00:00	37	-3
2019-02-06 07:00:00	37	-7
2019-02-06 08:00:00	37	-12
2019-02-06 09:00:00	37	-11
2019-02-06 10:00:00	37	-13
2019-02-06 11:00:00	37	-17
2019-02-06 12:00:00	37	-24
2019-02-06 13:00:00	37	-20
2019-02-06 14:00:00	37	-15
2019-02-06 15:00:00	37	-12
2019-02-06 16:00:00	37	-9
2019-02-06 17:00:00	37	-12
2019-02-06 18:00:00	37	-16
2019-02-06 19:00:00	37	-13
2019-02-06 20:00:00	37	-17
2019-02-06 21:00:00	37	-15
2019-02-06 22:00:00	37	-14
2019-02-06 23:00:00	37	-15
