index	DOY	Dst
2003-12-24 00:00:00	358	-3
2003-12-24 01:00:00	358	-5
2003-12-24 02:00:00	358	-7
2003-12-24 03:00:00	358	-8
2003-12-24 04:00:00	358	-6
2003-12-24 05:00:00	358	0
2003-12-24 06:00:00	358	2
2003-12-24 07:00:00	358	0
2003-12-24 08:00:00	358	-1
2003-12-24 09:00:00	358	1
2003-12-24 10:00:00	358	5
2003-12-24 11:00:00	358	8
2003-12-24 12:00:00	358	7
2003-12-24 13:00:00	358	5
2003-12-24 14:00:00	358	5
2003-12-24 15:00:00	358	5
2003-12-24 16:00:00	358	1
2003-12-24 17:00:00	358	-1
2003-12-24 18:00:00	358	-2
2003-12-24 19:00:00	358	0
2003-12-24 20:00:00	358	1
2003-12-24 21:00:00	358	1
2003-12-24 22:00:00	358	-3
2003-12-24 23:00:00	358	-5
