index	DOY	Dst
2005-02-24 00:00:00	55	19
2005-02-24 01:00:00	55	22
2005-02-24 02:00:00	55	21
2005-02-24 03:00:00	55	17
2005-02-24 04:00:00	55	13
2005-02-24 05:00:00	55	12
2005-02-24 06:00:00	55	10
2005-02-24 07:00:00	55	12
2005-02-24 08:00:00	55	12
2005-02-24 09:00:00	55	12
2005-02-24 10:00:00	55	9
2005-02-24 11:00:00	55	9
2005-02-24 12:00:00	55	5
2005-02-24 13:00:00	55	0
2005-02-24 14:00:00	55	6
2005-02-24 15:00:00	55	9
2005-02-24 16:00:00	55	8
2005-02-24 17:00:00	55	11
2005-02-24 18:00:00	55	11
2005-02-24 19:00:00	55	14
2005-02-24 20:00:00	55	12
2005-02-24 21:00:00	55	10
2005-02-24 22:00:00	55	6
2005-02-24 23:00:00	55	2
