index	DOY	Dst
2017-07-19 00:00:00	200	-31
2017-07-19 01:00:00	200	-29
2017-07-19 02:00:00	200	-27
2017-07-19 03:00:00	200	-28
2017-07-19 04:00:00	200	-29
2017-07-19 05:00:00	200	-29
2017-07-19 06:00:00	200	-30
2017-07-19 07:00:00	200	-29
2017-07-19 08:00:00	200	-24
2017-07-19 09:00:00	200	-24
2017-07-19 10:00:00	200	-24
2017-07-19 11:00:00	200	-24
2017-07-19 12:00:00	200	-24
2017-07-19 13:00:00	200	-24
2017-07-19 14:00:00	200	-24
2017-07-19 15:00:00	200	-23
2017-07-19 16:00:00	200	-22
2017-07-19 17:00:00	200	-24
2017-07-19 18:00:00	200	-23
2017-07-19 19:00:00	200	-22
2017-07-19 20:00:00	200	-19
2017-07-19 21:00:00	200	-18
2017-07-19 22:00:00	200	-16
2017-07-19 23:00:00	200	-13
