index	DOY	Dst
2019-04-02 00:00:00	92	-6
2019-04-02 01:00:00	92	-9
2019-04-02 02:00:00	92	-11
2019-04-02 03:00:00	92	-12
2019-04-02 04:00:00	92	-10
2019-04-02 05:00:00	92	-11
2019-04-02 06:00:00	92	-12
2019-04-02 07:00:00	92	-11
2019-04-02 08:00:00	92	-8
2019-04-02 09:00:00	92	-7
2019-04-02 10:00:00	92	-7
2019-04-02 11:00:00	92	-7
2019-04-02 12:00:00	92	-8
2019-04-02 13:00:00	92	-13
2019-04-02 14:00:00	92	-17
2019-04-02 15:00:00	92	-16
2019-04-02 16:00:00	92	-16
2019-04-02 17:00:00	92	-14
2019-04-02 18:00:00	92	-12
2019-04-02 19:00:00	92	-13
2019-04-02 20:00:00	92	-16
2019-04-02 21:00:00	92	-15
2019-04-02 22:00:00	92	-8
2019-04-02 23:00:00	92	-4
