index	DOY	Dst
1999-03-17 00:00:00	76	2
1999-03-17 01:00:00	76	3
1999-03-17 02:00:00	76	4
1999-03-17 03:00:00	76	3
1999-03-17 04:00:00	76	3
1999-03-17 05:00:00	76	3
1999-03-17 06:00:00	76	1
1999-03-17 07:00:00	76	-2
1999-03-17 08:00:00	76	-5
1999-03-17 09:00:00	76	-4
1999-03-17 10:00:00	76	-2
1999-03-17 11:00:00	76	0
1999-03-17 12:00:00	76	-2
1999-03-17 13:00:00	76	-5
1999-03-17 14:00:00	76	-6
1999-03-17 15:00:00	76	-5
1999-03-17 16:00:00	76	-7
1999-03-17 17:00:00	76	-8
1999-03-17 18:00:00	76	-6
1999-03-17 19:00:00	76	-7
1999-03-17 20:00:00	76	-5
1999-03-17 21:00:00	76	0
1999-03-17 22:00:00	76	2
1999-03-17 23:00:00	76	1
