index	DOY	Dst
2006-07-08 00:00:00	189	-24
2006-07-08 01:00:00	189	-21
2006-07-08 02:00:00	189	-18
2006-07-08 03:00:00	189	-15
2006-07-08 04:00:00	189	-13
2006-07-08 05:00:00	189	-14
2006-07-08 06:00:00	189	-15
2006-07-08 07:00:00	189	-14
2006-07-08 08:00:00	189	-13
2006-07-08 09:00:00	189	-13
2006-07-08 10:00:00	189	-14
2006-07-08 11:00:00	189	-16
2006-07-08 12:00:00	189	-14
2006-07-08 13:00:00	189	-13
2006-07-08 14:00:00	189	-12
2006-07-08 15:00:00	189	-12
2006-07-08 16:00:00	189	-12
2006-07-08 17:00:00	189	-12
2006-07-08 18:00:00	189	-15
2006-07-08 19:00:00	189	-17
2006-07-08 20:00:00	189	-17
2006-07-08 21:00:00	189	-16
2006-07-08 22:00:00	189	-15
2006-07-08 23:00:00	189	-13
