index	DOY	Dst
2002-05-10 00:00:00	130	-3
2002-05-10 01:00:00	130	-1
2002-05-10 02:00:00	130	-3
2002-05-10 03:00:00	130	-5
2002-05-10 04:00:00	130	-6
2002-05-10 05:00:00	130	-7
2002-05-10 06:00:00	130	-7
2002-05-10 07:00:00	130	-12
2002-05-10 08:00:00	130	-10
2002-05-10 09:00:00	130	-13
2002-05-10 10:00:00	130	-6
2002-05-10 11:00:00	130	5
2002-05-10 12:00:00	130	17
2002-05-10 13:00:00	130	17
2002-05-10 14:00:00	130	21
2002-05-10 15:00:00	130	22
2002-05-10 16:00:00	130	19
2002-05-10 17:00:00	130	15
2002-05-10 18:00:00	130	13
2002-05-10 19:00:00	130	14
2002-05-10 20:00:00	130	10
2002-05-10 21:00:00	130	-1
2002-05-10 22:00:00	130	-10
2002-05-10 23:00:00	130	-14
