index	DOY	Dst
2005-03-07 00:00:00	66	-54
2005-03-07 01:00:00	66	-52
2005-03-07 02:00:00	66	-42
2005-03-07 03:00:00	66	-41
2005-03-07 04:00:00	66	-38
2005-03-07 05:00:00	66	-37
2005-03-07 06:00:00	66	-39
2005-03-07 07:00:00	66	-39
2005-03-07 08:00:00	66	-36
2005-03-07 09:00:00	66	-28
2005-03-07 10:00:00	66	-25
2005-03-07 11:00:00	66	-29
2005-03-07 12:00:00	66	-24
2005-03-07 13:00:00	66	-21
2005-03-07 14:00:00	66	-30
2005-03-07 15:00:00	66	-25
2005-03-07 16:00:00	66	-19
2005-03-07 17:00:00	66	-20
2005-03-07 18:00:00	66	-19
2005-03-07 19:00:00	66	-30
2005-03-07 20:00:00	66	-30
2005-03-07 21:00:00	66	-26
2005-03-07 22:00:00	66	-31
2005-03-07 23:00:00	66	-37
