index	DOY	Dst
2017-02-02 00:00:00	33	-16
2017-02-02 01:00:00	33	-15
2017-02-02 02:00:00	33	-18
2017-02-02 03:00:00	33	-19
2017-02-02 04:00:00	33	-21
2017-02-02 05:00:00	33	-29
2017-02-02 06:00:00	33	-22
2017-02-02 07:00:00	33	-24
2017-02-02 08:00:00	33	-26
2017-02-02 09:00:00	33	-23
2017-02-02 10:00:00	33	-21
2017-02-02 11:00:00	33	-26
2017-02-02 12:00:00	33	-22
2017-02-02 13:00:00	33	-16
2017-02-02 14:00:00	33	-13
2017-02-02 15:00:00	33	-13
2017-02-02 16:00:00	33	-16
2017-02-02 17:00:00	33	-23
2017-02-02 18:00:00	33	-24
2017-02-02 19:00:00	33	-22
2017-02-02 20:00:00	33	-21
2017-02-02 21:00:00	33	-19
2017-02-02 22:00:00	33	-23
2017-02-02 23:00:00	33	-23
