index	DOY	Dst
2006-11-22 00:00:00	326	5
2006-11-22 01:00:00	326	5
2006-11-22 02:00:00	326	7
2006-11-22 03:00:00	326	7
2006-11-22 04:00:00	326	5
2006-11-22 05:00:00	326	4
2006-11-22 06:00:00	326	3
2006-11-22 07:00:00	326	3
2006-11-22 08:00:00	326	8
2006-11-22 09:00:00	326	10
2006-11-22 10:00:00	326	10
2006-11-22 11:00:00	326	8
2006-11-22 12:00:00	326	13
2006-11-22 13:00:00	326	13
2006-11-22 14:00:00	326	9
2006-11-22 15:00:00	326	8
2006-11-22 16:00:00	326	6
2006-11-22 17:00:00	326	7
2006-11-22 18:00:00	326	9
2006-11-22 19:00:00	326	4
2006-11-22 20:00:00	326	-4
2006-11-22 21:00:00	326	-10
2006-11-22 22:00:00	326	-9
2006-11-22 23:00:00	326	-6
