index	DOY	Dst
2004-10-02 00:00:00	276	22
2004-10-02 01:00:00	276	17
2004-10-02 02:00:00	276	14
2004-10-02 03:00:00	276	15
2004-10-02 04:00:00	276	14
2004-10-02 05:00:00	276	7
2004-10-02 06:00:00	276	2
2004-10-02 07:00:00	276	7
2004-10-02 08:00:00	276	9
2004-10-02 09:00:00	276	6
2004-10-02 10:00:00	276	-3
2004-10-02 11:00:00	276	-11
2004-10-02 12:00:00	276	-10
2004-10-02 13:00:00	276	-2
2004-10-02 14:00:00	276	1
2004-10-02 15:00:00	276	-3
2004-10-02 16:00:00	276	-7
2004-10-02 17:00:00	276	-8
2004-10-02 18:00:00	276	-7
2004-10-02 19:00:00	276	-5
2004-10-02 20:00:00	276	-6
2004-10-02 21:00:00	276	-5
2004-10-02 22:00:00	276	-2
2004-10-02 23:00:00	276	2
