index	DOY	Dst
1999-06-05 00:00:00	156	12
1999-06-05 01:00:00	156	10
1999-06-05 02:00:00	156	11
1999-06-05 03:00:00	156	7
1999-06-05 04:00:00	156	7
1999-06-05 05:00:00	156	7
1999-06-05 06:00:00	156	11
1999-06-05 07:00:00	156	14
1999-06-05 08:00:00	156	16
1999-06-05 09:00:00	156	17
1999-06-05 10:00:00	156	17
1999-06-05 11:00:00	156	15
1999-06-05 12:00:00	156	12
1999-06-05 13:00:00	156	12
1999-06-05 14:00:00	156	12
1999-06-05 15:00:00	156	14
1999-06-05 16:00:00	156	14
1999-06-05 17:00:00	156	14
1999-06-05 18:00:00	156	15
1999-06-05 19:00:00	156	12
1999-06-05 20:00:00	156	10
1999-06-05 21:00:00	156	5
1999-06-05 22:00:00	156	6
1999-06-05 23:00:00	156	9
