index	DOY	Dst
2006-03-08 00:00:00	67	-20
2006-03-08 01:00:00	67	-19
2006-03-08 02:00:00	67	-16
2006-03-08 03:00:00	67	-13
2006-03-08 04:00:00	67	-13
2006-03-08 05:00:00	67	-13
2006-03-08 06:00:00	67	-11
2006-03-08 07:00:00	67	-8
2006-03-08 08:00:00	67	-6
2006-03-08 09:00:00	67	-3
2006-03-08 10:00:00	67	0
2006-03-08 11:00:00	67	3
2006-03-08 12:00:00	67	0
2006-03-08 13:00:00	67	-1
2006-03-08 14:00:00	67	1
2006-03-08 15:00:00	67	3
2006-03-08 16:00:00	67	2
2006-03-08 17:00:00	67	3
2006-03-08 18:00:00	67	0
2006-03-08 19:00:00	67	-2
2006-03-08 20:00:00	67	-5
2006-03-08 21:00:00	67	-5
2006-03-08 22:00:00	67	-8
2006-03-08 23:00:00	67	-7
