index	DOY	Dst
2004-05-19 00:00:00	140	25
2004-05-19 01:00:00	140	24
2004-05-19 02:00:00	140	23
2004-05-19 03:00:00	140	21
2004-05-19 04:00:00	140	18
2004-05-19 05:00:00	140	14
2004-05-19 06:00:00	140	13
2004-05-19 07:00:00	140	11
2004-05-19 08:00:00	140	11
2004-05-19 09:00:00	140	12
2004-05-19 10:00:00	140	15
2004-05-19 11:00:00	140	17
2004-05-19 12:00:00	140	15
2004-05-19 13:00:00	140	15
2004-05-19 14:00:00	140	18
2004-05-19 15:00:00	140	11
2004-05-19 16:00:00	140	5
2004-05-19 17:00:00	140	6
2004-05-19 18:00:00	140	1
2004-05-19 19:00:00	140	1
2004-05-19 20:00:00	140	5
2004-05-19 21:00:00	140	6
2004-05-19 22:00:00	140	3
2004-05-19 23:00:00	140	8
