index	DOY	Dst
1996-03-31 00:00:00	91	2
1996-03-31 01:00:00	91	3
1996-03-31 02:00:00	91	4
1996-03-31 03:00:00	91	4
1996-03-31 04:00:00	91	2
1996-03-31 05:00:00	91	0
1996-03-31 06:00:00	91	1
1996-03-31 07:00:00	91	1
1996-03-31 08:00:00	91	-3
1996-03-31 09:00:00	91	-8
1996-03-31 10:00:00	91	-7
1996-03-31 11:00:00	91	-2
1996-03-31 12:00:00	91	-4
1996-03-31 13:00:00	91	-7
1996-03-31 14:00:00	91	-9
1996-03-31 15:00:00	91	-10
1996-03-31 16:00:00	91	-10
1996-03-31 17:00:00	91	-12
1996-03-31 18:00:00	91	-11
1996-03-31 19:00:00	91	-4
1996-03-31 20:00:00	91	1
1996-03-31 21:00:00	91	1
1996-03-31 22:00:00	91	0
1996-03-31 23:00:00	91	3
