index	DOY	Dst
1996-12-25 00:00:00	360	11
1996-12-25 01:00:00	360	5
1996-12-25 02:00:00	360	5
1996-12-25 03:00:00	360	5
1996-12-25 04:00:00	360	6
1996-12-25 05:00:00	360	5
1996-12-25 06:00:00	360	0
1996-12-25 07:00:00	360	-2
1996-12-25 08:00:00	360	-9
1996-12-25 09:00:00	360	-18
1996-12-25 10:00:00	360	-26
1996-12-25 11:00:00	360	-29
1996-12-25 12:00:00	360	-33
1996-12-25 13:00:00	360	-28
1996-12-25 14:00:00	360	-23
1996-12-25 15:00:00	360	-17
1996-12-25 16:00:00	360	-18
1996-12-25 17:00:00	360	-18
1996-12-25 18:00:00	360	-19
1996-12-25 19:00:00	360	-18
1996-12-25 20:00:00	360	-18
1996-12-25 21:00:00	360	-19
1996-12-25 22:00:00	360	-20
1996-12-25 23:00:00	360	-17
