index	DOY	Dst
2004-12-08 00:00:00	343	-20
2004-12-08 01:00:00	343	-19
2004-12-08 02:00:00	343	-23
2004-12-08 03:00:00	343	-23
2004-12-08 04:00:00	343	-22
2004-12-08 05:00:00	343	-25
2004-12-08 06:00:00	343	-24
2004-12-08 07:00:00	343	-21
2004-12-08 08:00:00	343	-19
2004-12-08 09:00:00	343	-21
2004-12-08 10:00:00	343	-24
2004-12-08 11:00:00	343	-25
2004-12-08 12:00:00	343	-25
2004-12-08 13:00:00	343	-23
2004-12-08 14:00:00	343	-25
2004-12-08 15:00:00	343	-25
2004-12-08 16:00:00	343	-25
2004-12-08 17:00:00	343	-23
2004-12-08 18:00:00	343	-21
2004-12-08 19:00:00	343	-17
2004-12-08 20:00:00	343	-18
2004-12-08 21:00:00	343	-24
2004-12-08 22:00:00	343	-26
2004-12-08 23:00:00	343	-23
