index	DOY	Dst
2004-12-02 00:00:00	337	-13
2004-12-02 01:00:00	337	-13
2004-12-02 02:00:00	337	-14
2004-12-02 03:00:00	337	-14
2004-12-02 04:00:00	337	-15
2004-12-02 05:00:00	337	-15
2004-12-02 06:00:00	337	-17
2004-12-02 07:00:00	337	-20
2004-12-02 08:00:00	337	-23
2004-12-02 09:00:00	337	-21
2004-12-02 10:00:00	337	-19
2004-12-02 11:00:00	337	-18
2004-12-02 12:00:00	337	-14
2004-12-02 13:00:00	337	-13
2004-12-02 14:00:00	337	-13
2004-12-02 15:00:00	337	-13
2004-12-02 16:00:00	337	-13
2004-12-02 17:00:00	337	-11
2004-12-02 18:00:00	337	-11
2004-12-02 19:00:00	337	-12
2004-12-02 20:00:00	337	-14
2004-12-02 21:00:00	337	-14
2004-12-02 22:00:00	337	-12
2004-12-02 23:00:00	337	-12
