index	DOY	Dst
2005-12-18 00:00:00	352	12
2005-12-18 01:00:00	352	11
2005-12-18 02:00:00	352	14
2005-12-18 03:00:00	352	13
2005-12-18 04:00:00	352	12
2005-12-18 05:00:00	352	11
2005-12-18 06:00:00	352	8
2005-12-18 07:00:00	352	5
2005-12-18 08:00:00	352	5
2005-12-18 09:00:00	352	5
2005-12-18 10:00:00	352	2
2005-12-18 11:00:00	352	9
2005-12-18 12:00:00	352	13
2005-12-18 13:00:00	352	14
2005-12-18 14:00:00	352	16
2005-12-18 15:00:00	352	13
2005-12-18 16:00:00	352	9
2005-12-18 17:00:00	352	12
2005-12-18 18:00:00	352	15
2005-12-18 19:00:00	352	16
2005-12-18 20:00:00	352	19
2005-12-18 21:00:00	352	26
2005-12-18 22:00:00	352	29
2005-12-18 23:00:00	352	24
